Point Mass X,Point Mass Y,Fixed Point 1 X,Fixed Point 1 Y,Fixed Point 2 X,Fixed Point 2 Y,Fixed Point 3 X,Fixed Point 3 Y,Convergence Point,Convergence Time
28,0,76,91,63,88,81,62,2,3.258753776550293
84,68,51,93,70,36,70,28,1,0.8642776012420654
47,65,56,11,8,88,63,67,2,0.18820929527282715
70,30,43,12,18,21,56,88,1,0.940211296081543
67,40,43,23,90,17,81,32,1,3.7770626544952393
11,67,75,95,93,93,52,54,0,1.5921239852905273
99,18,85,71,74,99,81,12,2,0.5598335266113281
93,77,79,3,83,26,74,93,2,1.1867060661315918
17,96,50,42,50,58,88,46,1,0.5435757637023926
34,74,43,44,23,10,19,10,1,1.814021110534668
17,30,39,77,45,87,64,16,0,2.95755934715271
49,29,89,86,95,47,8,48,0,0.9277589321136475
38,93,97,86,71,6,9,85,2,1.4158213138580322
51,14,0,57,68,80,55,33,2,0.195465087890625
92,6,71,66,78,78,7,13,0,1.7058513164520264
39,48,18,78,58,23,28,56,2,0.14674925804138184
99,95,19,1,32,93,89,70,2,1.4738471508026123
23,53,99,97,87,60,28,92,0,4.333833694458008
78,20,78,83,80,5,22,85,1,0.1730334758758545
27,50,69,5,74,24,20,43,2,0.10405802726745605
61,53,65,47,45,61,32,44,0,0.09081792831420898
85,20,83,64,34,32,47,11,1,0.5125064849853516
84,37,6,56,100,79,74,35,2,0.10459184646606445
68,51,87,87,87,4,84,42,2,0.19572067260742188
43,13,39,77,12,80,95,46,1,2.406304121017456
9,26,19,9,10,89,39,74,0,0.2676577568054199
6,74,27,57,21,31,91,17,2,2.5102224349975586
67,18,47,95,61,63,33,23,2,1.0933210849761963
28,76,82,31,47,62,36,30,0,2.7324275970458984
71,77,60,83,18,98,1,74,0,0.12277340888977051
59,23,43,1,45,72,100,25,0,0.4434061050415039
13,23,74,5,81,96,74,66,0,6.362323045730591
50,54,78,79,9,58,92,22,0,0.6391503810882568
57,88,63,57,74,32,48,79,2,0.12727093696594238
67,92,84,21,17,70,78,4,0,2.911222457885742
45,92,72,77,31,59,96,93,0,2.2286598682403564
34,13,9,54,93,31,65,27,1,1.778350830078125
13,20,7,74,41,88,57,50,1,0.6718556880950928
65,51,38,68,32,33,24,19,2,1.7247517108917236
5,19,69,60,92,71,6,36,2,0.18165874481201172
80,3,79,98,85,36,73,98,1,0.37775397300720215
78,72,71,43,30,47,3,12,0,1.6080124378204346
17,20,100,63,14,0,23,23,2,0.06729435920715332
40,56,54,58,80,27,26,52,0,0.28037142753601074
97,29,97,3,89,18,8,45,1,0.12598872184753418
39,7,41,77,64,40,49,78,0,1.3327198028564453
26,20,58,11,5,47,83,19,2,1.002875804901123
19,91,33,51,3,9,83,1,0,0.5058095455169678
16,86,25,8,25,98,97,2,1,0.16016411781311035
83,36,80,43,55,42,68,47,0,0.06703329086303711
83,61,10,66,43,29,67,4,1,5.601400375366211
42,34,54,93,71,27,44,87,2,1.717116117477417
27,76,86,16,50,81,20,33,1,7.661901235580444
65,64,26,21,65,52,4,12,1,0.11868524551391602
83,47,2,26,94,86,26,59,0,3.2316927909851074
66,29,25,75,76,25,3,67,1,0.11760926246643066
50,76,94,86,83,98,48,76,2,0.0
74,85,72,43,27,8,91,34,1,1.2869250774383545
93,75,71,41,26,5,79,23,0,4.513035774230957
88,3,2,97,48,49,50,18,2,2.1135053634643555
95,27,50,73,38,56,40,31,0,1.4672605991363525
21,0,40,0,57,13,79,63,0,0.18887662887573242
11,41,29,62,80,59,80,11,0,1.509732961654663
80,56,94,97,0,16,27,57,0,4.946934938430786
40,9,38,91,86,64,99,67,1,1.9925739765167236
26,1,1,42,50,52,57,78,1,3.193527936935425
93,10,92,54,92,2,47,60,1,0.08861565589904785
67,92,14,45,28,90,81,71,2,1.2314352989196777
94,59,99,22,53,6,9,89,0,1.1169095039367676
73,55,74,14,54,46,21,44,2,0.39813733100891113
4,47,63,76,49,92,75,3,0,0.7223343849182129
13,65,36,63,71,52,97,80,0,0.24982857704162598
34,84,70,14,88,99,90,70,1,3.422835350036621
5,56,87,100,38,71,77,12,1,0.42931652069091797
63,25,82,38,49,97,8,88,0,0.6879816055297852
12,56,76,51,86,52,2,97,2,5.761066675186157
62,4,62,78,19,43,11,86,1,5.578050851821899
37,3,15,64,29,54,9,8,2,0.8421826362609863
22,76,53,45,88,10,6,84,2,0.22587156295776367
87,13,23,87,21,10,70,99,2,3.3977482318878174
12,88,73,33,23,49,33,13,1,0.47175002098083496
56,80,21,100,70,36,18,50,1,4.196050405502319
70,33,21,100,22,48,36,8,1,2.3784847259521484
84,96,92,76,86,77,47,18,1,0.16230416297912598
35,88,50,66,61,84,76,37,0,1.4990332126617432
63,68,83,11,57,74,35,31,1,0.08917045593261719
43,43,24,17,5,7,6,96,0,1.032604455947876
39,82,50,95,31,42,94,98,0,0.20568561553955078
98,12,61,17,63,30,7,39,2,0.677386999130249
97,58,0,28,79,39,94,56,2,0.030556201934814453
32,3,64,53,24,37,75,4,2,2.582315444946289
22,96,74,65,43,95,74,92,1,0.21611475944519043
31,91,58,20,6,33,68,60,0,3.049131393432617
55,89,13,31,62,18,69,50,0,4.513662099838257
27,12,53,30,92,16,83,35,0,1.218973159790039
73,19,7,17,65,18,42,74,1,0.08162927627563477
91,15,26,75,37,82,58,52,2,0.5639839172363281
11,48,98,10,61,28,19,52,2,0.0876150131225586
68,41,89,95,58,33,63,10,1,0.12901663780212402
80,67,43,33,37,28,54,43,2,0.3372776508331299
